	name	latitude	longitude	scores	category	price	address
1626	哇吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.179144	121.387535	35.0	酒吧	60.0	闵行区吴中路1050号盛世莲花广场A栋
1943	哈鲁(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.204721	121.44685	20.0	酒吧	68.0	徐汇区衡山路237号
2003	Eagle’s(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.226883	121.55925	30.0	酒吧	58.0	浦东新区芳甸路199弄证大大拇指广场内
2057	丽嘉酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.226927	121.45198	40.0	酒吧	141.0	静安区南京西路1357号波特曼大酒店2楼
2110	288现场音乐吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.207516	121.46786	35.0	酒吧	125.0	卢湾区泰康路288号2楼
2138	船长酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.23539	121.489655	40.0	酒吧	83.0	黄浦区福州路37号船长酒店6搂
2222	柒酒廊(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.22956	121.52166	35.0	酒吧	94.0	浦东新区张杨路777号锦江汤臣洲际大酒店1楼
2324	丽笙星空酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.234478	121.47318	40.0	酒吧	118.0	黄浦区南京西路88号新世界丽笙大酒店47楼
2392	莱克酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.247383	121.57577	35.0	酒吧	57.0	浦东新区云山路1419号
2420	WHY BAR(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.224775	121.47406	35.0	酒吧	74.0	卢湾区黄陂南路35号
2468	彩云轩(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.219175	121.44517	30.0	酒吧	160.0	静安区华山路250号希尔顿酒店40楼
2617	袋鼠酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.21066	121.46303	45.0	酒吧	54.0	卢湾区永嘉路35号
2649	MT Club(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.223448	121.44431	30.0	酒吧	288.0	静安区愚园路218号百乐门2楼
3382	JW万豪大堂酒廊(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.230453	121.469696	40.0	酒吧	167.0	静安区南京西路399号明天广场JW万豪酒店38楼
4861	冠军吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.191486	121.37679	30.0	酒吧	119.0	长宁区虹桥路2270号万豪虹桥大酒店1楼
4879	美丽时光酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.227375	121.56003	35.0	酒吧	62.0	浦东新区芳甸路199弄证大大拇指广场12号
