Name,Number,Pourcentage
grand,11801,21.8387401225086
petit,8769,16.2277698613913
ancien,4142,7.6651183448378
vieux,2866,5.30377334048893
joseph,2703,5.00212817143809
pasteur,2350,4.34887206913781
haut,2145,3.96950237800026
bas,2007,3.71412180542961
claude,1499,2.77402520495216
saint,1420,2.62782908007476
