Name,Number,Pourcentage
grand ,11801,21.8387401225086
petit,8769,16.2277698613913
vieux,10197,18.8704036123397
jeune,33,0.06106926735385
haut,2145,3.96950237800026
bas,2007,3.71412180542961
ancien,4142,7.6651183448378
neuf,709,1.31206395617817
beau,635,1.17512075059681
laid,0,0
